gesture,collector,source_dataset,session_dir,mmwave_frame_count,mmwave_energy_mean,mmwave_energy_std,mmwave_energy_min,mmwave_energy_max,mmwave_energy_first,mmwave_energy_last,mmwave_energy_delta,mmwave_point_count_mean,mmwave_point_count_std,mmwave_velocity_abs_mean,mmwave_velocity_std,mmwave_velocity_abs_max,imu_line_count,imu_record_count,imu_ax_mean,imu_ax_std,imu_ax_min,imu_ax_max,imu_ay_mean,imu_ay_std,imu_ay_min,imu_ay_max,imu_az_mean,imu_az_std,imu_az_min,imu_az_max,imu_gx_mean,imu_gx_std,imu_gx_min,imu_gx_max,imu_gy_mean,imu_gy_std,imu_gy_min,imu_gy_max,imu_gz_mean,imu_gz_std,imu_gz_min,imu_gz_max,imu_accel_mag_mean,imu_accel_mag_std,uwb_count,uwb_mean_cm,uwb_std_cm,uwb_min_cm,uwb_max_cm,uwb_median_cm,uwb_range_cm,uwb_q25_cm,uwb_q75_cm,uwb_iqr_cm,uwb_first_cm,uwb_last_cm,uwb_delta_cm,uwb_abs_delta_cm,uwb_mean_abs_step_cm,uwb_max_abs_step_cm,uwb_slope_cm_per_sample
t_arm,student1,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_t_arm_007,30.0,381810.7166666667,45182.89931778824,317196.0,531535.0,317196.0,336660.0,19464.0,3.15,2.1492246664010413,0.0,0.0,0.0,303.0,303.0,0.5799339933993399,0.3452848309077737,-0.153,0.966,-0.5883877887788779,0.2586963425324466,-1.022,0.017,-0.2716369636963696,0.26537455978959273,-1.083,0.078,36.48325082508251,44.829939528699356,-15.69,204.66,-20.403036303630365,15.769273377681936,-42.6,12.63,-30.740297029702976,21.616000908847855,-79.29,9.95,1.0049596935016358,0.05417887268741388,151.0,101.64900662251655,27.491137644823333,43.0,196.0,97.0,153.0,81.5,118.0,36.5,129.0,101.0,-28.0,28.0,8.986666666666666,68.0,-0.5252335308469857
t_arm,student1,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_t_arm_008,30.0,341944.75,31080.089171029846,298694.0,447917.0,326645.0,326744.0,99.0,3.2333333333333334,1.7641491496532322,0.0,0.0,0.0,303.0,303.0,0.442463696369637,0.39721809159042615,-0.188,0.901,-0.5672706270627063,0.3223363274942066,-1.072,0.079,-0.29174587458745876,0.38206875495572434,-1.043,0.195,39.7406105610561,55.84057458816829,-20.72,210.09,-27.077887788778877,17.521093675663316,-51.91,14.37,-29.165973597359738,21.28859254546809,-75.35,14.22,1.0043840674721571,0.039469495850521244,152.0,102.59539473684211,23.629923612008906,59.0,139.0,105.5,80.0,78.75,124.25,45.5,134.0,65.0,-69.0,69.0,5.23841059602649,28.0,-0.5073614841544848
raise_arms,student1,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_raise_arms_001,30.0,421364.86666666664,54566.90682378428,316966.0,513172.0,331385.0,363974.0,32589.0,5.916666666666667,2.3024745142756498,0.0,0.0,0.0,302.0,302.0,0.324637417218543,0.41338046886612967,-0.338,1.086,-0.28718046357615895,0.12972869569173126,-0.669,-0.035,-0.7396423841059603,0.2895564367405639,-1.196,0.017,10.21951986754967,11.933819429381293,-43.09,54.75,28.036225165562914,23.32658518684425,-17.18,90.52,-4.047980132450331,11.900201076252216,-62.35,33.85,0.9990561260438185,0.09151863898770381,151.0,41.36423841059602,5.4399552004388285,24.0,53.0,41.0,29.0,38.0,46.0,8.0,39.0,35.0,-4.0,4.0,3.453333333333333,28.0,0.011090972464273038
raise_arms,student1,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_raise_arms_002,30.0,397781.8,66713.42289294812,284635.0,542594.0,301214.0,305981.0,4767.0,5.133333333333334,3.18049611783375,0.0,0.0,0.0,301.0,301.0,0.5453322259136213,0.379608086606935,-0.216,0.956,-0.33142026578073086,0.10429088943349425,-0.485,-0.044,-0.5456976744186046,0.3861881415738527,-1.261,0.014,12.046893687707641,12.27327396800235,-9.16,40.04,27.860365448504986,21.192575038053395,-5.95,62.9,-7.060764119601329,6.06845438466658,-22.19,4.85,1.0021190065694507,0.06993030427990032,151.0,49.771523178807946,6.389505744927315,35.0,64.0,50.0,29.0,47.0,54.0,7.0,39.0,50.0,11.0,11.0,3.513333333333333,25.0,0.03700592540955003
raise_arms,student1,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_raise_arms_003,30.0,422309.3,74832.67701920065,294392.0,590332.0,333811.0,348198.0,14387.0,5.4,2.715388247255507,0.0,0.0,0.0,302.0,302.0,0.5775281456953643,0.3175675764283065,0.022,0.986,-0.3231688741721855,0.09513006758990379,-0.578,-0.066,-0.547251655629139,0.40186710938862613,-1.221,0.152,10.980612582781458,11.457317077430693,-11.54,37.29,23.373559602649006,19.608074951561417,-12.82,54.6,-7.115728476821191,8.655547849517198,-26.73,11.29,1.0017119861213137,0.07369138837305286,151.0,49.16556291390729,7.126411405072598,33.0,67.0,48.0,34.0,44.0,54.0,10.0,50.0,39.0,-11.0,11.0,3.26,15.0,-0.0613401882188921
raise_arms,student1,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_raise_arms_004,30.0,404643.23333333334,57061.018217742625,301774.0,499409.0,319256.0,384523.0,65267.0,5.016666666666667,2.513058487772014,0.0,0.0,0.0,301.0,301.0,0.5637358803986712,0.32785528902221406,-0.069,0.953,-0.2822126245847176,0.10422761234285026,-0.582,-0.0,-0.5963704318936877,0.3658282831979984,-1.24,0.14,10.084435215946844,13.793748377129996,-23.8,40.35,25.035282392026577,20.01045916722166,-13.28,55.42,-6.168405315614618,8.922542790332637,-28.9,27.28,0.9997847246243823,0.0755852053698154,149.0,49.59395973154363,6.2231501993582725,36.0,69.0,48.0,33.0,46.0,53.0,7.0,47.0,47.0,0.0,0.0,3.310810810810811,22.0,-0.07097043352076937
raise_arms,student1,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_raise_arms_005,30.0,418061.5333333333,75725.25005251258,322096.0,680000.0,350225.0,323325.0,-26900.0,5.6,2.3607908279501033,0.0,0.0,0.0,301.0,301.0,0.45327242524916944,0.35903348320672457,-0.146,0.978,-0.3083538205980067,0.11771547495042564,-0.496,-0.002,-0.6535348837209303,0.3616489809218388,-1.124,0.096,10.6415780730897,10.163170215143387,-14.68,30.24,26.373986710963457,16.032390596094427,-11.9,47.82,-8.750431893687708,6.731102499726562,-24.87,7.29,0.9983848369255697,0.06652437383431023,149.0,47.828859060402685,6.186507717890225,28.0,62.0,48.0,34.0,44.5,52.0,7.5,46.0,37.0,-9.0,9.0,3.858108108108108,20.0,-0.010658443678577986
raise_arms,student1,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_raise_arms_006,30.0,390418.88333333336,64017.728940724344,285314.0,514504.0,308324.0,315513.0,7189.0,4.683333333333334,2.2003156339236627,0.0,0.0,0.0,301.0,301.0,0.6017707641196013,0.29282499157365954,0.053,1.011,-0.3020382059800664,0.06879981579379335,-0.429,-0.128,-0.5915980066445182,0.33483983804034384,-1.129,0.149,8.509867109634552,9.429000300142164,-13.25,29.3,23.009767441860465,15.486298895340262,-9.55,51.64,-7.327408637873755,5.818335829345735,-21.27,7.51,0.9999887813233771,0.07722290201849236,150.0,46.54666666666667,6.041773546844481,27.0,59.0,46.0,32.0,42.166666666666664,50.75,8.583333333333336,47.0,45.0,-2.0,2.0,2.469798657718121,17.0,-0.08359541905566198
raise_arms,student1,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_raise_arms_007,30.0,414856.18333333335,61253.742432943545,314780.0,510098.0,331474.0,323250.0,-8224.0,4.466666666666667,2.334285520001546,0.0,0.0,0.0,302.0,302.0,0.5744205298013246,0.32049477640843216,-0.028,1.006,-0.2900778145695364,0.09829807575388398,-0.451,0.008,-0.5795877483443708,0.383178083218715,-1.149,0.137,11.726225165562912,10.95832779224461,-13.46,42.36,24.1967880794702,17.344695979153027,-8.61,53.87,-5.935380794701987,7.597047544587996,-27.01,11.23,1.0022998990985164,0.0680133128280774,151.0,45.158940397350996,5.702154815192572,30.0,63.0,45.0,33.0,41.0,48.0,7.0,49.0,41.0,-8.0,8.0,3.56,29.0,-0.07109794353433249
raise_arms,student1,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_raise_arms_008,30.0,433341.86666666664,74607.73141738656,316173.0,599341.0,316173.0,361496.0,45323.0,5.9,2.736786436680802,0.0,0.0,0.0,300.0,300.0,0.6748316666666665,0.29530249854237667,0.054,1.026,-0.27859833333333334,0.07238736881451686,-0.416,-0.019,-0.4902716666666666,0.3758977348037037,-1.093,0.151,9.414733333333334,12.764534947615164,-18.4,38.82,23.57595,18.275543800372997,-8.97,56.52,-9.370116666666666,9.747465349329993,-32.78,12.27,1.0011158641831976,0.06993387683288464,150.0,42.38,8.412091365022285,21.0,58.0,42.0,37.0,37.0,49.0,12.0,50.0,39.0,-11.0,11.0,2.9194630872483223,23.0,-0.15572010607878886
fist_open,student1,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_kaiwei_discrete/sessions/student1_fist_open_001,31.0,328840.6129032258,22631.553329549006,284600.0,375081.0,360778.0,315059.0,-45719.0,2.129032258064516,1.930100038922786,0.0,0.0,0.0,302.0,302.0,0.757885761589404,0.06798749717053447,0.382,1.046,-0.401432119205298,0.061875283205938346,-0.747,-0.16,-0.5181208609271523,0.0647648149349895,-0.788,-0.074,2.4926655629139076,17.994821935420468,-35.49,88.96,-0.15016556291390745,12.803669495422476,-53.19,46.69,-1.1662417218543049,6.76361532388689,-35.98,18.19,1.0073051628975263,0.04437838408934042,152.0,87.85197368421052,4.206915945694343,79.0,99.0,88.0,20.0,84.0,91.0,7.0,84.0,87.0,3.0,3.0,1.9801324503311257,13.0,0.02912899213362572
